Batch	Roundtrip	Avis id	Start date	End date	Pages		Resource
400027132756	1	sanctthomaetidendedvi	1812-01-01	1848-12-31	14195	sanctthomaetidendedvi_1812-01-01_1848-12-31_B400027132756-RT1.zip
400027101273	1	adresseavisen1759	1862-01-01	1864-12-31	5894	adresseavisen1759_1862-01-01_1864-12-31_B400027101273-RT1.zip
400027102067	1	kioebenhavnsposten1827	1845-01-01	1859-12-31	14229	kioebenhavnsposten1827_1845-01-01_1859-12-31_B400027102067-RT1.zip
400027048321	1	dagen1803	1817-01-01	1830-12-31	14480	dagen1803_1817-01-01_1830-12-31_B400027048321-RT1.zip
400026951974	2	berlingsketidende	1749-01-03	1767-12-31	21393	berlingsketidende_1749-01-03_1767-12-31_B400026951974-RT2.zip
400026957719	1	dannevirke1838	1857-01-01	1864-12-31	8662	dannevirke1838_1857-01-01_1864-12-31_B400026957719-RT1.zip
400027133655	1	nestvedugeblad	1839-01-01	1839-12-31	420	nestvedugeblad_1839-01-01_1839-12-31_B400027133655-RT1.zip
400027045896	1	berlingsketidende	1845-05-01	1852-06-30	15634	berlingsketidende_1845-05-01_1852-06-30_B400027045896-RT1.zip
400027108707	1	roskildeavis	1856-01-01	1870-12-31	12003	roskildeavis_1856-01-01_1870-12-31_B400027108707-RT1.zip
400026954337	1	aarhusstiftstidende	1866-01-01	1876-06-30	15860	aarhusstiftstidende_1866-01-01_1876-06-30_B400026954337-RT1.zip
400027040290	1	lemvigavis	1881-01-01	1881-12-31	1220	lemvigavis_1881-01-01_1881-12-31_B400027040290-RT1.zip
400026953276	1	aalborgstiftstidende	1847-01-01	1857-12-31	13311	aalborgstiftstidende_1847-01-01_1857-12-31_B400026953276-RT1.zip
400027042196	2	skiveavis	1881-01-01	1895-12-31	8256	skiveavis_1881-01-01_1895-12-31_B400027042196-RT2.zip
400027101311	2	adresseavisen1759	1773-01-01	1783-12-31	18773	adresseavisen1759_1773-01-01_1783-12-31_B400027101311-RT2.zip
400027106003	1	frederiksborgamtsavis	1874-01-01	1881-12-31	9318	frederiksborgamtsavis_1874-01-01_1881-12-31_B400027106003-RT1.zip
400027048127	1	dagbladetkoebenhavn1851	1851-01-01	1866-12-31	19123	dagbladetkoebenhavn1851_1851-01-01_1866-12-31_B400027048127-RT1.zip
400027100838	1	morgenbladet1873	1873-01-01	1881-12-31	10065	morgenbladet1873_1873-01-01_1881-12-31_B400027100838-RT1.zip
400027105236	2	svendborgamtstidende	1848-01-01	1871-12-31	16189	svendborgamtstidende_1848-01-01_1871-12-31_B400027105236-RT2.zip
400026959355	2	horsensfolkeblad1866	1881-01-01	1881-12-31	1218	horsensfolkeblad1866_1881-01-01_1881-12-31_B400026959355-RT2.zip
400027048739	1	dagstelegraphen	1877-01-01	1881-12-31	7821	dagstelegraphen_1877-01-01_1881-12-31_B400027048739-RT1.zip
