Batch	Roundtrip	Avis id	Start date	End date	Pages		Resource
400026958839	1	holstebrodagblad	1881-01-01	1896-12-31	8752	holstebrodagblad_1881-01-01_1896-12-31_B400026958839-RT1.zip
400027107018	1	kalundborgavis1857	1857-01-01	1880-12-31	17752	kalundborgavis1857_1857-01-01_1880-12-31_B400027107018-RT1.zip
400027101591	2	adresseavisen1759	1880-07-01	1881-12-31	2908	adresseavisen1759_1880-07-01_1881-12-31_B400027101591-RT2.zip
400027048798	1	dendanskemercurius1666	1666-07-01	1678-10-31	567	dendanskemercurius1666_1666-07-01_1678-10-31_B400027048798-RT1.zip
400026953292	1	aalborgstiftstidende	1865-07-01	1872-12-31	10193	aalborgstiftstidende_1865-07-01_1872-12-31_B400026953292-RT1.zip
400026959169	1	horsensavis1828	1867-01-01	1881-12-31	19083	horsensavis1828_1867-01-01_1881-12-31_B400026959169-RT1.zip
400027107001	1	kalundborgavis1857	1881-01-01	1895-12-31	8589	kalundborgavis1857_1881-01-01_1895-12-31_B400027107001-RT1.zip
400027048100	2	dagbladetkoebenhavn1851	1875-01-01	1881-12-31	8863	dagbladetkoebenhavn1851_1875-01-01_1881-12-31_B400027048100-RT2.zip
400027132721	2	stcroixavisdvi	1833-01-01	1858-12-31	10917	stcroixavisdvi_1833-01-01_1858-12-31_B400027132721-RT2.zip
400027044261	1	vejleamtsfolkeblad	1866-01-01	1880-12-31	17059	vejleamtsfolkeblad_1866-01-01_1880-12-31_B400027044261-RT1.zip
400027106348	1	frederiksborgamtstidende	1863-01-01	1876-12-31	14226	frederiksborgamtstidende_1863-01-01_1876-12-31_B400027106348-RT1.zip
400026957700	2	dannevirke1838	1838-01-01	1856-12-31	13590	dannevirke1838_1838-01-01_1856-12-31_B400026957700-RT2.zip
400026953251	2	aalborgstiftstidende	1785-01-01	1823-12-31	15119	aalborgstiftstidende_1785-01-01_1823-12-31_B400026953251-RT2.zip
400027041629	2	ribestiftstidende	1853-01-01	1870-12-31	15282	ribestiftstidende_1853-01-01_1870-12-31_B400027041629-RT2.zip
400027045934	1	berlingsketidende	1869-05-01	1873-12-31	14693	berlingsketidende_1869-05-01_1873-12-31_B400027045934-RT1.zip
400027132519	1	faedrelandet1834	1879-01-01	1881-12-31	3696	faedrelandet1834_1879-01-01_1881-12-31_B400027132519-RT1.zip
400027109339	1	sjaellandstidendeslagelse	1830-01-01	1844-12-31	12600	sjaellandstidendeslagelse_1830-01-01_1844-12-31_B400027109339-RT1.zip
400027101281	1	adresseavisen1759	1759-01-01	1772-12-31	17397	adresseavisen1759_1759-01-01_1772-12-31_B400027101281-RT1.zip
400027102075	1	kioebenhavnsposten1827	1827-01-01	1844-12-31	20841	kioebenhavnsposten1827_1827-01-01_1844-12-31_B400027102075-RT1.zip
400026954345	1	aarhusstiftstidende	1876-07-01	1881-12-30	7899	aarhusstiftstidende_1876-07-01_1881-12-30_B400026954345-RT1.zip
